,Kotor,Comments,Author
293,1,jancokk  wkwkwkg karna luarnya aja belum tentu kita lebih baik dari dia,ENDY TRAVEL
294,0,udah kebal terhadap hater erickontoruuuu,kotohana san
295,0,hatersnya lucu lucu pada gaje semua hahahahaha ohh iya lo ganteng rick,WiseCat
296,0,woiii haters sekalian coba kalian jangan ngechat yang tidak baik,YT CP Official
297,0,qw pngin beli baju shoapking a lel gmna cra beli a lel,Gas Njeblug123
298,1,ngakak bgsd v,Fatkhan Akhmad
299,1,hahaahahangakak gua jing good vid cra beli a lel,Jenny Tan
300,0,"kenapa gw suka lu karna gw suka cara lu nanggepin para haters 

sukses terus rick 

anti skip skip club",Rivaldy Gunawan
301,1,"mo ngehate tapi mo nonton
haters anjink toloo",LIQUID DASH
302,1,erikontol terjebud love you lah njink loo,Bew wox
303,1,cari content tuh bukan makan jembut kontol,Areo Gaming
304,1,menit gua terbuang anjink,aih mana ada
305,0,niat amat comen ngehina panjang lebar l,yohanda malik
306,1,muka loh kaya sampah anjing goblok tai nangsat babi,Anwar Bjkfals
307,1,jaman sekarang anak masih bau seperma ajah udah nonton bokep goblok udh hilang aturan gituan anjing,Anwar Bjkfals
308,1,tereein kontolic,alfa gaming
309,1,panutan  btw ka eric ganteng erma ajah udah nonton bokep goblok udh hilang aturan gituan anjing,Nanda Laoma
310,1,semakin lu pada ngina dia semakin bnyak lagi uangnya bokep goblok udh hilang aturan gituan anjing,Bima Kacili
311,1,sumpah rikmukalokayakontolkejepitdanlojangansoksuci kerenmasihneteaja,mardianto tanjung
312,1,hili kintil,HEROZIN 100
313,0,mending uang nya buat gua v buat paketan paketan w sekarat neehh v,Anonymous ID
314,0,hai bang erickolim hime hime,Steven Tv
315,0,gudd bang rick gua belain lo bg rik,Dash Prabowo
316,1,mana nihh yang ngehate gua cari di komen kaga ada anjinggg,rio mahendra
317,0,sok suci,Gavin Erol
318,1,erick kolim kaya tai,Gavin Erol
319,0,gw ga suka sam si erick tapi ngakak anjir v,Puja Godhil
320,1,sumpah ngakak  lanjutkan eric mantr v,Arya Pamungkas
321,0,gue dukung lo erikkontolim,Gile lu Anjay
322,0,saran w bahasa lo klo bisa di jaga karena bahasa lo ga mendidik bgt coba lo bikin conten yg positif tks,Ryan Frayogi
323,0,semangat terus bang lupain haters yg g guna anggep aja itu cuma angin lewat in conten yg positif tks,anak mama
324,0,njir ngukuk gw konten lu bang parah tapi gw paling terharu pas liat closing lu tdi kata nya itu loh   kehilangan temen wkwkwk fuck,Saputra Rizki
325,0,"ok kak eriko makan jembut sekali lagi dong 
ku dukung biar tambah semangat semangat 
nya itu loh   kehilangan temen wkwkwk fuck",Asmo Ismanto
326,0,"ya gua harap si viewers lu bisa baca masukan dari gua si rik sebagai perwakilan mulut lu karna gua bagian dari subscriber lu 
sebenernya orang semacem ericko lim pasti ada tujuan dan maksut di setiap content video video nya mungkin emang sedikit gak pantes soal ngmng kontol karna emang lu sendiri yang kek kontol coba lu think smart buat saring video nya kita mulai dari masalah content keseharian nya dia tentang hal yang bener bener masuk akal dan bisa di bilang bener bener tolol bego dongo iya alasan nya kenapa lu komen gitu karna lo gatau gimana rasanya cari duit secape apa lagian bener kata erick lu sendiri punya otak dan akal sehat kalau itu kurang pantes ya lu harus pikir secara mandiri laah lu punya otak lu punya akal kenapa harus erick juga yang ngajarin jujur seharus nya lu harus mikir masalah youtube rewind ini gua sebagai subscriber doang kadang bener bener gaabis mikir sama perjuangan ericko lim yaa gua yakin buat lu haters pada karna lu benci erik lu pasti dipihak anyo haha alias abang rapyourberak 
seberapa dewasa nya erik boy buat nge dm ke si rezaarap ya gua gak perlu jelasin lagi kali ya mungkin lu harus tonton video langsung aja youtube rewind gak ada dan itu bener bener ada di tangan nya reza arap apa yang dia perjuangin buat youtube rewind dia cuman belaga kalau dia seakan akan raja raja yang bakalan mengatur segala nya tentang youtube bro pls dont give a fuck manusia kek gitu inti point penting nya aja lu harus bener bener jadi viewers yang smartthink kalau lu benci erick lu gak usah nonton video dia kalau lu benci dia tapi lu nonton dia sama lu itu munafik kenapa lu bisa kasih komentar haters ke erik karna lo nonton coba lo gak nonton pake otak makanya",NZ7B Zth
327,0,makan jemboet,yoke agustiranda
328,0,"semua penampilan lo sifat lo yg skrg dan gaya lo yg sok semangat karena ada hatters gue tau lu cuman bangga dari adsense kan yg saya pikir apakah lu itu lemah uang segitu bisa buat lu kaya gini udah macam bukan manusia mungkin tapi 
hwkwkwkwk lemah lemah",tauhid qalbi321
329,1,ericko kontol lim,BAKSO BORAX
330,0,"lanjut terus rick sifat lo yg skrg dan gaya lo yg sok semangat karena ada hatters gue tau lu cuman bangga dari adsense kan yg saya pikir apakah lu itu lemah uang segitu bisa buat lu kaya gini udah macam bukan manusia mungkin tapi 
hwkwkwkwk lemah lemah",Idham Achmad Rian
331,0,gua soapers,qaka qaswaini Rahaman Qaka Qaswaini rahman
332,1,channel nggak bermutu tp knp pd nntn anjing,Rizal Muliadi
333,1,gw terhibur tapi pas yang di atas ngomong kontol jembut bangsat dan yang lainnya gw agak jyjyk ea padahal gw juga sering sih ngomong kek gtu apa itu artinya gw anak kontol,WA CHenel NG
334,1,rik emang sih muka lu kaya kontol kelakuanlu kaya kampang tapi karna kekontolan lu dan kekapmpanganlu itu yg buat gw suka karna chanel lu beda dari yg lain,chool battle
335,0,haters uang,ruhul ghhn
336,1,lo kayak anjing bang ricooo biarin heters yang kayak lipetan kontol itu goblok wkwkw,Aldrin Drin
337,0,bilangin haters nya bang intinya gua dapet duit,gaspol
338,0,"stju rik
kalo gw si tiap nntn video lu
cuma ambil yg kocak nya aj
negatif nya gua buang
smngt rik",akuro rasbarry
339,0,"gw subscribe chanel lu x bang 
kurang baik apa coba gw",halim halim
340,0,mantep bang hanya chanel elu yang mendidik hehe,BaGaS Ap
341,0,"kalau ngak suka 
ngapain kalian nonton kontol 

 berkarya bang 
 dukung channel lu",Clash Royale
342,0,"saya suka ericko lim 







tapi bohong hiyahiyahiyahiyaukung channel lu",Rendy Rush
343,0,udah deh youtubers udah susah ngedit bikin motifasi modal ngapain sih di susahin lagi di komentar mereka gunain kata bijak tapi mereka bodoh,Kambing Kok Gaming
344,0,cina nerd pake kacamata,Si Bull
345,0,"rick duet sama eno bening dong 
kyknya bakalan asyik tuh
wkwkwkwk",Mori Abdul Hakim
346,1,"haters pembawa berkah cok hahahah
 shoapking hahhaha",sintia rahimah
347,0,cenel ter aneh,Saputra Zed
348,1,erickolim toxic kayak anjeng auto unsubs aja babi yang setuju like,Vexeus GT
349,0,panutan ni mah,Indra Ramadhan711
350,0,emng gk pantes luuu buka project youtube rewind gk ad pntes nya,Rizki Juliansyah
351,1,mati aj lu bngsat yg subrcibe lu ya emng gblok smua pling gk ngrti agama smua chanel lu anjing,Rizki Juliansyah
352,1,mati aj lu bngsaat sesat chanel lu anjing,Rizki Juliansyah
353,1,gk ad bgus nya chanel lu bngsat plagiat dri reza arap reza arap ad bagusnya sosialnya bgus lu apaan bngsat chanel friendly dimna nya anjing dimna ad mnghbur nya bngsaat,Rizki Juliansyah
354,1,ini chanel hiburan bukan chanel pendidikan kalo lu suka tonton kalo ga suka jangan ditonton semudah itu aja masih pada kebanyakan bacot,ghu dhel
355,0,gw punya kapten dia bilang gua gak punya sayap tapi mirip malaikat sekarang dia sudah pergi ke hidupnya semoga kapten di sana bahagia dengan kehidupan barunya i love capt,JCREW Tv
356,1,love u bgst ,deklaudia geraldine
357,0,"mending lo ngomong kotor kurangin deh 
yang setuju like",Tigerpo
358,0,gw subscribe buat ngebully lu rik hehehe gpp kan like,daniel faiz
359,1,serah dia lah mau buat vidio apa bego,Nathan Gaming
360,0,tolong kata kata kasar nya di sensor biar gal ada anak kecil yang liat saran aku,Fery Hobbies
362,1,"lanjutin bro 

hidup kaum soapers 


ululululululululululu salam memex ngilu",adeknya jembot
363,0,bug bug bug,Frq Faruq
364,0,semua di sekolah gue ngatain gue toxic gara keseringan nonton channel elu wkwkwkwk,NAYAZI
365,1,jangan ngaruh ama hujatan haters koh erik lu ga perlu d bully jg udah dongo sendiri kok ga ad lagi yutuber tolol kaya lu lg d dunia peryutuban ini tetaplah mjd yutuber paling anjin gw dukung lu koh,Tomy Martin
366,1,"rick muka lo kaya kontol udah gitu aja
 u ga perlu d bully jg udah dongo sendiri kok ga ad lagi yutuber tolol kaya lu lg d dunia peryutuban ini tetaplah mjd yutuber paling anjin gw dukung lu koh",ERLANGGA Channel
367,0,hahahah netijen netijen,HDAAJ. Prank
368,0,"bang keep it up orang cuma bisa ngeliat dri sisi buruk doang tpi sebner nya mereka gk tau kebaikan lo 
inget bang kata alu nothing last forever we can change the future",ItsNias
369,1,bang saran ajh itu semua pada nge hina luh doang gk ush di denger kontol wk pada nge hina doang tapi muka nya munafik kan kebanyakan gituh,Firgi Awan
370,1,mem k ngilu anjing weh bang ngakak kontol wk,Firgi Awan
371,1,"sengat bang erick w tau walau mulut lo n klakuan lo kaya kontol tapi hati lo baik bet 
btw oddy dh lu kentot blom",Dicky yogasaputra
372,0,bg erik bikin vidio mantap jiwa part dong bg,Rihaz akbar
373,1,ga usah di peduliin haters rick kontol buat konten bokep napa anjing,Fairlangga Gituh
374,1,fuck youu yg bulllt rick,Muh.alzaky07 zaky07
375,1,"maha benar netijen 
dengan segala bacotannya v",Akira Yuki
376,1,ikeh ikeh khimochie ngan segala bacotannya v,Fan Shinoda
377,0,"haters ma gitu bang eric maklumin aj padahal mereka sendiri aj belum sempurna buat para haterss jgn suka ngebully org sembarangan kalau diri lu aj masih gk terurus kalau terurus plngn org tua yg ngurusin 

 semangat bang eric jgn peduli apa kata haters yg penting lu bikin konten yg keren aj kami pasti tetep dukung lo bang",Adrian Ktp
378,0,"ters ma gitu bang eric maklumin aj padahal mereka sendiri aj belum sempurna buat para haterss jgn suka ngebully org sembarangan kalau diri lu aj masih gk terurus kalau terurus plngn org tua yg ngurusin 

 semangat bang eric jgn peduli apa kata haters yg penting lu bikin konten yg keren aj kami pasti tetep dukung lo bang",Nijar f
379,0,bang kenapa sih lo ngehibur orang dan orangnya happy tapi lo kayak gitu di youtube malah jelek,Jonathan offical
380,0,nonton pake headset volume pol in lebih greget ea,Fahmooy !
381,0,sabar ya bang,orang Yunita
382,1,gua punya kontol,Aprilian Pratama
383,0,bang bikin konten game lg dong saran doang si,Ferdinand Lunardy
385,1,lu bilang suruh sopan lu aja ngomong nya ga sopan punya otak ga sih,Afkar Farabi
386,0,v,Octaav viaaa
387,1,ngentoooood,fadhlur rahman
388,1,yang ngabcotin erick emang lo semua bisa seperti dia lu masih minta duit sama orng tua pada bacot sukses terus lim abaikan heters terus aja berkarya semoga youtube rewind sukses bro,al Kamil
389,0,lucu wkkwkw muter bhasanya pintar,Calory Calory
390,1,slow bang msih ada soaper yg slalu bela loerti dia lu masih minta duit sama orng tua pada bacot sukses terus lim abaikan heters terus aja berkarya semoga youtube rewind sukses bro,Syahrudin N
391,0,yang sabar bang ericko,Aldo Nazta
392,0,hahahah hetersnya erick anak haram hahahah,LIMIT FNY
393,1,mantap coegnya erick anak haram hahahah,Yuli fitri fitri Dutasenasena
394,0,ganteng si emang mnrt gw hahahaha,Nanda Queena
395,0,gw suka gayalo babyk awto subscribe,dilga dafly
396,1,muka cem kontol,Yoga Prahmana
397,1,"haters bacot suruh tutup akun channel lu 

lu bilang aja emang bikin channel yt sampe jt subs itu semudah menghapus channel gak mampu bikin channel yt terkenal diem aja",dafa henryan
398,0,supaya terkenal kali ya,lhow to hack money and diamond
399,0,eric ganteng v,LAGI VIRAL
400,1,sebenernya gua gk suka sama lu rik tapi semenjak saya pantau ketololan dan kegoblokan lu gua jdi suka yaa bangsad i like kegoblokn yg unfaedaah muehehe v,Rosit AR
401,0,hater gonna hate bro,Ses asli enak
402,0,"lu kaya juga dari hater 

hater tetep hater bro",Ses asli enak
403,0,ngomong nya merusak bangsa koq bnyak sub yah heran jg saya,UJANG OPI
404,0,saran gua ya bang jari memegangi api itu panas bang pasti gk tahan menahannya menit apalagi api neraka menahani hari panas sekali kan tobat wooy tobat sebelum nafas masih ada,Alfatih Syahbana
405,0,"haters fans yang tertunda
fans haters yang tertunda
betul gak",Rasen Kurniawan
406,0,sabar bang,Angga Ananda
407,0,"gila lu rik

 soapers",mario toni
408,0,semangat bangoapers,Bang Jim Belitong
409,1,woi ajing lu ngntot sama anjink sana lu gk usah ngenantang fens erickolim,alfa gaming
410,1,lu ajah unsub anjengg gblok gw suka sama org ini saya hatter eriko lim sampe mati lanjutkan ericko lim semoga sukses,Zaki Ganteng
411,0,awas ntar jadi musryik,Galih Pramoda
412,1,toooooloooool,Chill Dust
413,0,yaelah,LIANG BRO2
414,0,up up v,but zard
415,0,kalok gk suka gk usah di toton,alfa gaming
416,1,channel gak berfaedah anjink makanya gua like dan subscribe channel lu k ntol,the Wizteria
417,1,m subs berani gak masukin bo cabe ke kontol lu v wkwokw,Asede Kuntul69
418,1,fuck you haters v,kocak Gaming
419,1,mkan tuh anjing bangsat eric kontollllllllll wkwkwkwkwkwkwkwkwkwkwkwkwkw,Razer Yulistian1929
420,1,"buat para haters 
emang lo bisa berkarya 
haters memek v",Gusti Farhan Alfath
421,0,bang coba bikin chanell elo tanpa toxic,bocil tv bocah berkreasi
422,1,ngakak njirr,ReGaNNX
423,1,luh gg bang di buly tapi luh konyol ajggg,Ludfi Panuntun
424,1,semangat bang terus berkarya biarin ajja tuh anjing berkoar lo tetep berkarya semangat bang,Yogi Pratama
425,1,banyak bacot lu erikontol idup cumn bikin sempit bumi doang anjing,Echa 2582
426,0,nyimak,Aditya Pratama
427,0,wkwkwkw ngakak sama bocah ada yang jual agama lagi,renaldi fj
428,1,haters kontol,erpan1140 fans
429,0,gw bocah bang,Ahmad Haikal
430,1,netizen kontol,Muhamad Arthur
431,1,eh haters kontol nonton sampai habis vidionya sebelum bacot di coment bangsat gini gini dia waras njir,Andhika Jusuf
432,1,"gua orng indo jadi gua cuma liat judul doang v
sorry ya kak bukan ngehina atau sok tau tapi emng rata rata haters itu jahat mana ada hatters baik kalo baik namanya fans anjeeeenk",Hi Channel
433,1,banyak bacot luh goblok,Bagus Chenell
434,1,rik luh sebenar nya youtuber paling goblok sedunia,Bagus Chenell
435,1,yg like mendukung erikontol,Cinto Iam
436,0,masih banyak orang yg terhibur sama konten yt lu bang,Muhammad Ridho
437,0,lol,Bintang Mokoginta
438,0,komen pertama kocak parahr sama konten yt lu bang,iia Adel
439,0,semangat terus bang jangan putus asa,spongeboob gaming
440,1,"haters kok jahat 
tenang bang gua selalu ngedukung lo
jangan dengarin tu kata haters kontol",Mhmmd Rafly
441,0,no toxic no erick wkkke,Elang Pratama
442,0,gue lumayan suka sama bang ericko karna dia seagama sama gue dan sebenernya bang ericko itu orang baik cuma penampilan di layar aja kayak gitu,Dark.Noire
443,1,"heters kok kontol 
 rick gua belain lu 
 soapers nih
 mendidik kok dikira maksa 
 bener rick kata lu lu selalu di omongin temen gua",Terbalik Gaming
444,1,"ters kok kontol 
 rick gua belain lu 
 soapers nih
 mendidik kok dikira maksa 
 bener rick kata lu lu selalu di omongin temen gua",Gamer Moba Flayer Fadli
445,1,"ngakak gua ngentot babi lu bang ampe naber gua tawa mlu idik kok dikira maksa 
 bener rick kata lu lu selalu di omongin temen gua",Angelica Violadita
446,0,bener tu kata hatters,FUGUH GAMING
447,0,gua malah terhibur sama bang erickkk,zl GOH
448,1,"hahahhaa anjinkkk ngakak bangzatttaber gua tawa mlu idik kok dikira maksa 
 bener rick kata lu lu selalu di omongin temen gua",Muhammad Dicky Fajar
449,0,pap tt kak kimmy,Haikal Gaming
450,1,halah itu haters lo pansos tuh komennya muncul di channel lo paling dah nyinyir seneng dsr bicaranya sok bener ngomongnya pake anji g kont,Firstcho Bagus Malviano
451,1,gue heters lu emang knp kymakkk,azunyan chenel
452,0,bang hapus dong chanel lu bang,Habibi 44
453,1,gak suka ya gak suka kaleee jangan ngebully karya orang woyy setidaknya eric udah berusaha nghibur lo pada hatters tolol,Booyah No BarBar
454,0,wajar ada hates tanda nya lu terkenal,Aku Bapakmu
455,1,hater emang musuh pertama dibumi ericko lim anda jgn membela diri bhwa hater adalah fans sejati hater is fcking hate u dude tahukan anda iblis ituu hater pertama didunia ini,Solo Or Team
456,0,"keep calm

haters lu membawa keuntungan",uray gaming
457,1,oh shittt motherfucker kontolimmgan,dian tara
458,1,buat haters ericko kontol lu pada,Muhammad Juan
459,1,untung gua lahir gak jamannya mecin kaya lu kelakuan lu kaya bnr org diotisme omongan lu rasis ini sosial media banyak org yang nonton goblok di pelihara,Ardi Kechaw
460,1,ajg gua harus koment apa aswww,Arbi 27
461,1,bgsd kau ferguso menit swww,Muhammad Rozan
462,0,tobat lah  kelakuan mu itu udah keluar batas ingat yang nonton bukan hanya orang dewasa anak kecil pun nonto mending ente hapus vidio berbahaya ituhara,Rhmn xlZ
463,1,kalo mggak suka gak usahnonton anjingggg,Eko Buwono
464,1,semangat bang sy soapers ton anjingggg,Faiq Bagus
465,1,ngakak gua bang nonton nyaon anjingggg,Muhamad Alwi
466,1,greget njir,dawi king
467,1,terhibur kimak sma lu rik trus maju dah sukses bwt lu erickohimehime v,Ada Aja
468,0,respect for you semangat terus bang,theblack devils
469,1,"wkwkwkwk 
yg hate keliatan org munafik tod 
tiba ngomong channel ga mendidik 
padahal pas lo di rumah sendiri nonton jav  hapus vidio berbahaya ituhara",GAMING SOUNDTRACK
470,0,sabar aja kalo begitu ludiemin aja ntar mekeka jaga malesnkaga ditanggepin komenya kalo ditanggepin ntar malah lanjutbtrus maap ga sub lu soal takut ketauan otu gw nonton begininsoal kalonsub keluar notivikasi lu buat vidio apa hheheh,Then Kim Lan
471,0,lol,Fire Oye
472,1,jgn hiraukan sama haters itu ajg,shigeo tokuda
473,1,jgn hiraukan sama haters itu ajg,shigeo tokuda
474,1,hahaha tidak ada larangan membuat konten yang tolol,Zaqi Avisena
475,1,erick kontol anjing gak usah kamu bikin vidio anjiiiiiiing,rafli nabila
476,1,bg go aheadanjing gak usah kamu bikin vidio anjiiiiiiing,faceQ Channel
477,0,gue bukan haters gue cuma gk suka konten toxic ginian,rohan the master
478,1,ngakak bgsters gue cuma gk suka konten toxic ginian,Tio shapa Dharmoko
479,0,slow ajh bang gw bantu elu wkwk gw bkn heter gw orng baik wkwk,Betran Valentino
480,0,klo tujuan lo buat ekspresikan fantasi subs lo buatin vidio incest ditunggu,nanda a
481,1,eric kontollllll,UJANG Faizal
482,0,well you re always entertaining so far although there s a lot of cancer things you ve been doing but u do really have a content for me erick just keep bitching up,Adil Utomo
483,1,kontoooool,Bayu Wanandasyahti
484,1,fuck the haters you still shine rick,Eternite G
485,0,seberapa banyak anak dibawah umur untuk menonton video ini,Mr. Sasuke Uchiha
486,0,soap king on the real mvp,muhammad saddam
487,1,"kembangkan tot gw dukung
sehari ngomong jorok brp banyak jink",alvan tino Rumah Horbo
488,0,erickolim panutanqu,Hosea Madao06
489,0,gua dukung lu lim,aep saepulloh
490,0,aku bela ericko lim mantap kali,L .S
491,1,nomor wa buat tanya cara coli dgn benar,L .S
492,0,nomoer wa kak ericko,L .S
493,1,ah dasar kontol kontol kontol kontol sama lu semua ngentot ngentot ngentot sama lu semua,ericko lim gblk
494,1,erick berapa ukuran kontol lo njing,Ane Santri
495,1,w bukan haters tapi w suka nonton eriko lem karna lucu mukanya kya kontol kecepit wkwkwk,Choco Handsome
496,1,"aku suka ericko karna roti jembut kratos jembutos
lucu bapa ericko 
semoga youtube bapa ericko bisa subcriber ya bangg semangat  me erick just keep bitching up",Andrian 17
497,1,bangsat,Si Ocong
498,1,"gua penggemar lu bangti jembut kratos jembutos
lucu bapa ericko 
semoga youtube bapa ericko bisa subcriber ya bangg semangat  me erick just keep bitching up",TRQ. JAYBRO27
499,0,sabar ya bang gk usah di masukan ke hati,EXE Channel
500,0,bang kapan verified,NvL :v
501,0,santai bang lu aneh tapi seruuuuuuu,Capitates
502,0,seterah kan di youtube kan bebas kalo udah kelawatan yah dihapus dari pihak youtube sendiri lah v,Hasan Kasei
503,0,gua subs lu sblm dri m bang gua suka ama konspirasi lu,taufik HIDAYAT
504,0,mantap gw suka cara loe,Z Laliqha
505,0,arap ke,Ahmad Rizaldo
506,1,ketemuan ama gua njing,Classic Game_
507,0,gw suka gaya lu rick,neko gaming
508,1,haha haters tolol haha muka palkon,neko gaming
509,0,keren bang wkwkwk tetep dalem pendirian bang rasi lu,Muchamadri_
510,1,bikin es kepal make peju erick ngentod,Randi Erlangga
511,1,goblok,A Muli
512,1,ga jelas tai video ga mendidik mending keren,Indrawan
513,0,gua kenal lu juga dari haters bang santai ae bang salam heters,Naufal Allam
514,0,wkwkwkwkw ceramah mode on wkwkwkw bukan hate komen loh saya semangat dah ye rik moga moga banyak rezeki tambah banyak subscribers lo biar bisa nyusul channel lain ok semangat,Zetorno Gamming
515,0,sabar ini ujian,Yusuf Asu
516,1,dihh bocah anjinggg lu aja belom ada sperma sok kerad anjing gat dah ye rik moga moga banyak rezeki tambah banyak subscribers lo biar bisa nyusul channel lain ok semangat,Nakal tapi tamvann
517,1,di doktrin chanel tolol nih bocah,Helle R
518,1,"ericko lim emg salah karena bikin video porno kek gitu kyk lagu ngeres dll kan gk baik sebenarnya haters ericko lim itu org yg gk ngeres cuma mereka mengeluarkan kata yg gk baik karena udh kesel sama ericko lim jadi ericko lim lah perusak generasi buah buah dan minuman normal aja udh jadi hal ngeres contoh pisang dan susu awalnya pisang dan susu hanya la cemilan normal gara gara ericko lim semuanya udh berubah dan dunia banyak org ngeres jadi haters ericko lim itu org yg kgk ngeres cuma dia ngomong kotor ke ericko lim karena sifatnya ngeres ibunya ericko lim nyesel ngelahirin ericko lim ericko lim masuk agama kristen kok gk pernah tobat dasar generasi sekarang dan lu ericko lim tobat lah sekarang sebelum terlambat 

edit gw tau agama ericko lim kristen karena anting anting mu yang kyk salasalah youtube rewind ini gua sebagai subscriber doang kadang bener bener gaabis mikir sama perjuangan ericko lim yaa gua yakin buat lu haters pada karna lu benci erik lu pasti dipihak anyo haha alias abang rapyourberak 
seberapa dewasa nya erik boy buat nge dm ke si rezaarap ya gua gak perlu jelasin lagi kali ya mungkin lu harus tonton video langsung aja youtube rewind gak ada dan itu bener bener ada di tangan nya reza arap apa yang dia perjuangin buat youtube rewind dia cuman belaga kalau dia seakan akan raja raja yang bakalan mengatur segala nya tentang youtube bro pls dont give a fuck manusia kek gitu inti point penting nya aja lu harus bener bener jadi viewers yang smartthink kalau lu benci erick lu gak usah nonton video dia kalau lu benci dia tapi lu nonton dia sama lu itu munafik kenapa lu bisa kasih komentar haters ke erik karna lo nonton coba lo gak nonton pake otak makanya",PuppyCorn Gaming
519,0,raihan haidar oh sorry bg,Gusti Farhan Alfath
